"needed_journals","Journal","Cites","ImpactFactor","Eigenfactor","dist"
"Ecography","ECOGRAPHY",10103,4.52,0.01818,0
"Journal of Raptor Research","JOURNAL OF RAPTOR RESEARCH",825,0.699,0.00064,0
"Marine Ecology Progress Series","MARINE ECOLOGY PROGRESS SERIES",36229,2.276,0.02751,0
"Applied Animal Behaviour Science","APPLIED ANIMAL BEHAVIOUR SCIENCE",8022,1.548,0.00578,0
"Journal of Evolutionary Biology","JOURNAL OF EVOLUTIONARY BIOLOGY",10778,2.538,0.01786,0
"New Zealand Journal of Forestry Science","NEW ZEALAND JOURNAL OF FORESTRY SCIENCE",594,1.333,0.00051,0
"Agronomy for Sustainable Development","Agronomy for Sustainable Development",3580,4.503,0.00671,0
"Parasitology Research","PARASITOLOGY RESEARCH",12003,2.558,0.01901,0
"Journal of Asia-Pacific Entomology","JOURNAL OF ASIA-PACIFIC ENTOMOLOGY",963,0.875,0.00195,0
"Biological Conservation","BIOLOGICAL CONSERVATION",28274,4.66,0.03624,0
"Geoderma","GEODERMA",18686,3.74,0.02027,0
"Evolutionary Ecology","EVOLUTIONARY ECOLOGY",3729,2.133,0.00427,0
"Behavioral Ecology and Sociobiology","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY",12110,2.473,0.01123,0
"Journal of Insect Conservation","JOURNAL OF INSECT CONSERVATION",1953,1.562,0.0036,0
"Journal of Biogeography","JOURNAL OF BIOGEOGRAPHY",15146,4.154,0.0228,0
"International Journal of Primatology","INTERNATIONAL JOURNAL OF PRIMATOLOGY",3165,1.278,0.00261,0
"Forest Ecology and Management","FOREST ECOLOGY AND MANAGEMENT",32513,3.169,0.03297,0
"PeerJ","PeerJ",7377,2.118,0.0316,0
"Oecologia","OECOLOGIA",32672,3.127,0.02627,0
"Industrial Crops and Products","INDUSTRIAL CROPS AND PRODUCTS",19421,3.849,0.03281,0
"Marine Biology","MARINE BIOLOGY",17167,2.215,0.01183,0
"Journal of Experimental Botany","JOURNAL OF EXPERIMENTAL BOTANY",40585,5.354,0.05792,0
"Forestry","FORESTRY",2397,2.638,0.00291,0
"ZooKeys","ZooKeys",3668,1.079,0.01189,0
"Plant Systematics and Evolution","PLANT SYSTEMATICS AND EVOLUTION",4562,1.452,0.00441,0
"Journal of Forest Research","Journal of Forest Research",939,0.908,0.00074,0
"Marine Environmental Research","MARINE ENVIRONMENTAL RESEARCH",5682,3.159,0.00728,0
"Food Research International","FOOD RESEARCH INTERNATIONAL",22125,3.52,0.03282,0
"Poultry Science","POULTRY SCIENCE",19149,2.216,0.01298,0
"Ecology","ECOLOGY",60825,4.617,0.04415,0
"Agricultural and Forest Entomology","AGRICULTURAL AND FOREST ENTOMOLOGY",1342,1.49,0.00178,0
"PLoS ONE","PLoS One",582877,2.766,1.86235,0
"Journal of Sea Research","JOURNAL OF SEA RESEARCH",3051,1.729,0.0044,0
"Fisheries Research","FISHERIES RESEARCH",7849,1.874,0.00911,0
"Aquaculture","AQUACULTURE",32468,2.71,0.01953,0
"Canadian Journal of Forest Research","CANADIAN JOURNAL OF FOREST RESEARCH",11536,1.887,0.00649,0
"American Naturalist","AMERICAN NATURALIST",29269,4.265,0.02053,0
"Ecosystems","ECOSYSTEMS",8825,4.03,0.01116,0
"Current Biology","CURRENT BIOLOGY",56595,9.251,0.1372,0
"Journal of Economic Entomology","JOURNAL OF ECONOMIC ENTOMOLOGY",12772,1.936,0.01032,0
"Environmental and Experimental Botany","ENVIRONMENTAL AND EXPERIMENTAL BOTANY",8583,3.666,0.00989,0
"Plant Cell and Environment","PLANT CELL AND ENVIRONMENT",20478,5.415,0.02272,0
"Functional Ecology","FUNCTIONAL ECOLOGY",14638,5.491,0.02176,0
"Evolution and Human Behavior","EVOLUTION AND HUMAN BEHAVIOR",4043,3.623,0.00673,0
"Canadian Journal of Fisheries and Aquatic Sciences","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",16760,2.631,0.01004,0
"Global Ecology and Conservation","Global Ecology and Conservation",649,2.174,0.00282,0
"Biological Invasions","BIOLOGICAL INVASIONS",8978,3.054,0.0144,0
"Phycologia","PHYCOLOGIA",2724,1.798,0.00199,0
"Quaternary Science Reviews","QUATERNARY SCIENCE REVIEWS",21248,4.334,0.03735,0
"Agricultural Systems","AGRICULTURAL SYSTEMS",5624,3.004,0.00644,0
"Journal of Ecology","JOURNAL OF ECOLOGY",18409,5.172,0.02482,0
"BioControl","BIOCONTROL",2245,1.924,0.00266,0
"Evolution","EVOLUTION",32227,3.818,0.03223,0
"Annals of Forest Science","ANNALS OF FOREST SCIENCE",3341,2.357,0.00381,0
"Environmental Biology of Fishes","ENVIRONMENTAL BIOLOGY OF FISHES",5681,1.514,0.00444,0
"Aquatic Toxicology","AQUATIC TOXICOLOGY",15035,3.884,0.01534,0
"Precision Agriculture","PRECISION AGRICULTURE",1534,2.435,0.00195,0
"Apidologie","APIDOLOGIE",3943,2.856,0.00307,0
"Wildlife Biology","WILDLIFE BIOLOGY",1423,2.081,0.00154,0
"Journal of Arachnology","JOURNAL OF ARACHNOLOGY",1363,1.236,0.00095,0
"Conservation Biology","CONSERVATION BIOLOGY",20885,5.89,0.02035,0
"BMC Ecology","BMC ECOLOGY",1055,2.315,0.00222,0
"South African Journal of Botany","SOUTH AFRICAN JOURNAL OF BOTANY",3059,1.442,0.00413,0
"Journal of Great Lakes Research","JOURNAL OF GREAT LAKES RESEARCH",4423,2.354,0.00602,0
"Marine Pollution Bulletin","MARINE POLLUTION BULLETIN",25474,3.241,0.02731,0
"Ecology and Evolution","Ecology and Evolution",6915,2.34,0.02926,0
"ICES Journal of Marine Science","ICES JOURNAL OF MARINE SCIENCE",9838,2.906,0.01295,0
"Animal Behaviour","ANIMAL BEHAVIOUR",27186,3.067,0.02408,0
"Limnologica","LIMNOLOGICA",1360,1.814,0.00201,0
"Ecological Indicators","ECOLOGICAL INDICATORS",13782,3.983,0.02862,0
"Ecological Research","ECOLOGICAL RESEARCH",3185,1.531,0.0035,0
"Taiwania","TAIWANIA",455,0.421,0.00049,0
"Ecological Informatics","Ecological Informatics",1507,1.82,0.00324,0
"Journal of Experimental Marine Biology and Ecology","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",15335,1.99,0.01016,0
"Dendrochronologia","DENDROCHRONOLOGIA",1331,2.055,0.00181,0
"ISME Journal","ISME Journal",19791,9.52,0.05672,0
"Plant and Soil","PLANT AND SOIL",30111,3.306,0.02556,0
"BMC Plant Biology","BMC PLANT BIOLOGY",10552,3.93,0.02315,0
"Behavioural Processes","BEHAVIOURAL PROCESSES",4337,1.555,0.00698,0
